"","h1n1_concern","h1n1_knowledge","behavioral_antiviral_meds","behavioral_avoidance","behavioral_face_mask","behavioral_wash_hands","behavioral_large_gatherings","behavioral_outside_home","behavioral_touch_face","doctor_recc_h1n1","chronic_med_condition","child_under_6_months","health_worker","opinion_h1n1_vacc_effective","opinion_h1n1_risk","opinion_h1n1_sick_from_vacc","age_group","education","race","sex","income_poverty","marital_status","rent_or_own","employment_status","census_msa","household_adults","household_children","h1n1_vaccine"
"1",1,0,0,0,0,0,0,1,1,0,0,0,0,3,1,2,"55 - 64 Years","< 12 Years","White","Female","Below Poverty","Not Married","Own","Not in Labor Force","Non-MSA",0,0,0
"2",3,2,0,1,0,1,0,1,1,0,0,0,0,5,4,4,"35 - 44 Years","12 Years","White","Male","Below Poverty","Not Married","Rent","Employed","MSA, Not Principle  City",0,0,0
"4",1,1,0,1,0,1,1,0,0,0,1,0,0,3,3,5,"65+ Years","12 Years","White","Female","Below Poverty","Not Married","Rent","Not in Labor Force","MSA, Principle City",0,0,0
"5",2,1,0,1,0,1,1,0,1,0,0,0,0,3,3,2,"45 - 54 Years","Some College","White","Female","<= $75,000, Above Poverty","Married","Own","Employed","MSA, Not Principle  City",1,0,0
"6",3,1,0,1,0,1,0,0,1,0,0,0,0,5,2,1,"65+ Years","12 Years","White","Male","<= $75,000, Above Poverty","Married","Own","Employed","MSA, Principle City",2,3,0
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,"55 - 64 Years","< 12 Years","White","Male","<= $75,000, Above Poverty","Not Married","Own","Employed","MSA, Not Principle  City",0,0,0
"8",1,0,0,1,0,1,0,0,1,1,1,0,0,5,2,1,"45 - 54 Years","Some College","White","Female","<= $75,000, Above Poverty","Married","Own","Employed","Non-MSA",2,0,1
"9",0,2,0,1,0,1,1,1,1,0,0,0,0,4,1,1,"45 - 54 Years","College Graduate","White","Male","> $75,000","Married","Own","Employed","MSA, Not Principle  City",1,0,0
"10",2,1,0,1,0,0,1,0,1,0,1,0,0,4,2,2,"55 - 64 Years","12 Years","White","Male","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","MSA, Not Principle  City",0,0,0
"11",2,1,0,1,0,1,1,0,0,0,1,1,0,4,1,2,"45 - 54 Years","12 Years","White","Male","<= $75,000, Above Poverty","Married","Rent","Employed","MSA, Not Principle  City",2,0,1
"12",1,2,0,1,0,1,0,0,0,0,0,0,0,3,2,2,"55 - 64 Years","College Graduate","White","Male","> $75,000","Married","Own","Employed","Non-MSA",1,2,1
"13",1,1,0,1,0,1,1,0,1,0,0,0,0,3,2,1,"65+ Years","College Graduate","White","Male","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","MSA, Not Principle  City",1,0,0
"14",1,1,0,1,0,1,0,0,1,0,1,1,0,3,1,4,"35 - 44 Years","Some College","White","Male","> $75,000","Married","Own","Employed","MSA, Not Principle  City",1,2,0
"15",3,1,0,1,0,1,0,1,1,0,0,0,0,5,4,2,"55 - 64 Years","12 Years","White","Male","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","MSA, Not Principle  City",1,0,0
"16",1,1,0,1,0,0,0,0,0,0,0,0,0,4,2,2,"35 - 44 Years","College Graduate","White","Female","> $75,000","Married","Own","Employed","MSA, Not Principle  City",1,3,0
"18",1,1,0,0,0,1,1,0,1,1,0,0,0,2,2,4,"35 - 44 Years","Some College","White","Female","<= $75,000, Above Poverty","Not Married","Own","Employed","MSA, Not Principle  City",1,0,0
"19",1,2,0,1,0,1,0,0,1,1,0,0,0,5,2,2,"65+ Years","College Graduate","White","Male","> $75,000","Married","Own","Employed","Non-MSA",2,0,0
"20",2,2,0,0,0,1,0,1,1,0,0,0,0,4,2,1,"55 - 64 Years","Some College","Black","Female","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","MSA, Not Principle  City",1,0,0
"21",3,1,0,1,1,1,1,1,1,1,0,0,0,4,2,2,"55 - 64 Years","College Graduate","Black","Female","<= $75,000, Above Poverty","Not Married","Rent","Not in Labor Force","MSA, Principle City",0,0,0
"22",2,2,0,1,0,1,0,0,1,1,0,0,0,3,3,1,"55 - 64 Years","Some College","White","Female","> $75,000","Not Married","Own","Employed","MSA, Not Principle  City",1,0,0
"23",1,1,0,1,0,1,0,0,1,1,0,0,0,4,2,2,"45 - 54 Years","College Graduate","White","Female","> $75,000","Married","Own","Employed","MSA, Not Principle  City",2,1,0
"24",3,0,1,0,0,1,1,1,1,0,0,0,0,5,5,4,"18 - 34 Years","< 12 Years","Black","Female","Below Poverty","Not Married","Rent","Not in Labor Force","Non-MSA",1,2,0
"26",1,2,0,1,0,1,0,0,1,0,0,0,0,3,2,2,"45 - 54 Years","Some College","White","Female","<= $75,000, Above Poverty","Married","Rent","Employed","MSA, Not Principle  City",1,1,0
"28",3,2,0,1,0,1,1,1,1,0,0,0,0,4,2,2,"65+ Years","Some College","White","Female","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","Non-MSA",1,0,0
"29",0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,"55 - 64 Years","12 Years","White","Male","<= $75,000, Above Poverty","Married","Own","Not in Labor Force","Non-MSA",1,0,0
"31",3,2,0,1,0,1,1,1,1,1,0,0,0,2,1,2,"35 - 44 Years","College Graduate","White","Female","<= $75,000, Above Poverty","Not Married","Own","Employed","MSA, Principle City",0,2,0
"33",2,2,0,1,0,1,0,0,1,0,0,0,0,4,2,2,"35 - 44 Years","Some College","Black","Male","<= $75,000, Above Poverty","Married","Own","Unemployed","MSA, Principle City",1,2,0
"34",2,1,0,1,0,1,0,0,0,1,0,0,0,5,4,4,"65+ Years","12 Years","White","Female","<= $75,000, Above Poverty","Not Married","Own","Not in Labor Force","MSA, Not Principle  City",0,0,1
"35",1,1,0,1,0,0,0,0,0,0,0,1,0,5,1,2,"18 - 34 Years","College Graduate","White","Male","> $75,000","Married","Own","Employed","MSA, Not Principle  City",1,2,1
"36",2,1,1,1,1,1,1,1,1,1,1,0,0,3,5,5,"55 - 64 Years","< 12 Years","Hispanic","Female","<= $75,000, Above Poverty","Not Married","Rent","Not in Labor Force","MSA, Principle City",0,0,1
"37",2,2,0,1,0,1,0,0,1,0,1,0,0,4,2,1,"45 - 54 Years","Some College","White","Female","> $75,000","Married","Own","Employed","Non-MSA",2,0,0
"38",1,1,0,0,0,0,0,0,0,0,0,0,0,4,1,1,"45 - 54 Years","Some College","White","Female","<= $75,000, Above Poverty","Not Married","Own","Employed","MSA, Principle City",0,0,0
"41",0,2,0,0,0,0,0,0,1,0,0,0,0,4,4,1,"45 - 54 Years","Some College","White","Male","<= $75,000, Above Poverty","Not Married","Rent","Employed","MSA, Not Principle  City",0,0,0
"42",2,1,0,1,0,1,0,1,1,0,0,1,1,4,4,4,"55 - 64 Years","Some College","White","Female","> $75,000","Married","Own","Employed","MSA, Not Principle  City",1,0,1
"44",2,1,1,1,0,1,1,0,1,1,0,0,0,4,2,4,"18 - 34 Years","College Graduate","Black","Male","> $75,000","Not Married","Rent","Not in Labor Force","MSA, Principle City",0,1,1
"46",2,1,1,1,0,1,0,0,1,0,0,0,0,2,2,2,"18 - 34 Years","Some College","White","Female","> $75,000","Married","Rent","Employed","MSA, Not Principle  City",2,1,0
